OTU_ID	CM08	CM07	A12	E05	CM05	CM09	CM06	CM02	T02	CM04	L04	P01	D09	CM11	CM10	S03	W08	CM03	CM12	C07	CM01	R11	F06	CM13	Z10	Taxonomy
OTU_7114	0	0	0	3	0	0	0	1	6	0	32	9	0	1	0	13	0	0	0	0	1	0	0	1	0	k_Fungi;p_Basidiomycota;c_Exobasidiomycetes;o_incertae_sedis;f_incertae_sedis;g_Meira_;s_Meira_sp_ANTCW08_165
OTU_3401	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Exobasidiomycetes;o_incertae_sedis;f_incertae_sedis;g_Meira_;s_Meira_sp_ANTCW08_165
OTU_5538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	k_Fungi;p_Basidiomycota;c_Exobasidiomycetes;o_incertae_sedis;f_incertae_sedis;g_Meira_;s_Meira_sp_VegaE2_32
OTU_5216	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp
OTU_6008	0	20	20	0	0	152	7	0	0	0	0	0	0	128	0	0	0	0	0	0	10	0	0	0	0	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp
OTU_5821	4	7	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp
OTU_5389	0	1	1	1	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	1	0	1	0	1	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp
OTU_3113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	20	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp
OTU_371	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp
OTU_2926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp
OTU_6373	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp_CBS_118751
OTU_3346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_incertae_sedis;g_Phoma_;s_Phoma_sp_CBS_118751
OTU_2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	k_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Tuberaceae;g_Tuber_;s_Tuber_sp
OTU_5048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	2	k_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Tuberaceae;g_Tuber_;s_Tuber_sp
OTU_219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	125	6	0	0	k_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Tuberaceae;g_Tuber_;s_Tuber_sp_8_KA_2010
OTU_6962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	k_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Tuberaceae;g_Tuber_;s_Tuber_sp_8_KA_2010
OTU_6034	0	1	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp
OTU_3868	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp
OTU_6523	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp
OTU_1674	0	145	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp_027
OTU_3747	0	37	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	15	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp_027
OTU_5782	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp_027
OTU_942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp_027
OTU_535	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp_18_SUN_2011
OTU_4632	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales_;f_Glomeraceae_;g_Glomus_;s_Glomus_sp_8_SUN_2011
OTU_5980	253	0	1	3	9	204	1	0	0	1	3	2	0	2	36	1	0	0	8	8	1	0	4	4	1	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporaceae;g_Edenia_;s_Edenia_sp
OTU_4176	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	21	0	0	0	0	1	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Xylariales_;f_Diatrypaceae;g_Eutypa_;s_Eutypa_sp_2_CCG_2012
OTU_2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Xylariales_;f_Diatrypaceae;g_Eutypa_;s_Eutypa_sp_6_CCG_2012
OTU_2729	0	0	0	6	0	4	0	0	2	0	6	1	7	1	0	12	0	3	0	3	1	0	0	1	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_incertae_sedis;g_Exidia_;s_Exidia_sp
OTU_6759	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	k_Fungi;p_Ascomycota;c_incertae_sedis;o_incertae_sedis;f_incertae_sedis;g_Knufia_;s_Knufia_sp
OTU_6156	2395	9	176	0	0	61	302	666	0	1	650	1	0	0	1	666	2	7749	122	0	1505	8	6	311	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales_;f_Mycenaceae;g_Mycena_;s_Mycena_sp
OTU_4903	1	0	3636	1	4	0	0	0	0	3551	3	140	39	5	1069	1	1697	0	0	36	102	2	131	58	2228	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales_;f_Mycenaceae;g_Mycena_;s_Mycena_sp
OTU_6211	0	14	0	0	0	0	0	0	1	0	0	0	0	26	0	0	1	0	0	0	0	10	2	0	489	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales_;f_Mycenaceae;g_Mycena_;s_Mycena_sp
